,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,Cy5,ICA,Unkn,Sample 01,27.4490068570333,NaN
,A02,Cy5,ICA,Unkn,Sample 09,24.0658411359002,NaN
,A03,Cy5,ICA,Pos Ctrl,PC,NaN,NaN
,B01,Cy5,ICA,Unkn,Sample 02,28.2848254107972,NaN
,B02,Cy5,ICA,Unkn,Sample 10,24.4720547396303,NaN
,B03,Cy5,ICA,Neg Ctrl,NC,NaN,NaN
,C01,Cy5,ICA,Unkn,Sample 03,25.6087390709118,NaN
,C02,Cy5,ICA,Unkn,Sample 11,21.3346782296953,NaN
,D01,Cy5,ICA,Unkn,Sample 04,25.7547492025141,NaN
,D02,Cy5,ICA,Unkn,Sample 12,23.35062471775,NaN
,E01,Cy5,ICA,Unkn,Sample 05,27.4000909508291,NaN
,E02,Cy5,ICA,Unkn,Sample 13,22.4399366002444,NaN
,F01,Cy5,ICA,Unkn,Sample 06,24.9006298059471,NaN
,F02,Cy5,ICA,Unkn,Sample 14,22.4683206919246,NaN
,G01,Cy5,ICA,Unkn,Sample 07,25.13187389512,NaN
,G02,Cy5,ICA,Unkn,Sample 15,22.1715798181135,NaN
,H01,Cy5,ICA,Unkn,Sample 08,24.8661333908967,NaN
,H02,Cy5,ICA,Unkn,Sample 16,22.5984152221066,NaN
,A01,FAM,RdRP,Unkn,Sample 01,NaN,NaN
,A02,FAM,RdRP,Unkn,Sample 09,NaN,NaN
,A03,FAM,RdRP,Pos Ctrl,PC,26.7538123269998,NaN
,B01,FAM,RdRP,Unkn,Sample 02,NaN,NaN
,B02,FAM,RdRP,Unkn,Sample 10,NaN,NaN
,B03,FAM,RdRP,Neg Ctrl,NC,NaN,NaN
,C01,FAM,RdRP,Unkn,Sample 03,NaN,NaN
,C02,FAM,RdRP,Unkn,Sample 11,NaN,NaN
,D01,FAM,RdRP,Unkn,Sample 04,NaN,NaN
,D02,FAM,RdRP,Unkn,Sample 12,NaN,NaN
,E01,FAM,RdRP,Unkn,Sample 05,NaN,NaN
,E02,FAM,RdRP,Unkn,Sample 13,NaN,NaN
,F01,FAM,RdRP,Unkn,Sample 06,NaN,NaN
,F02,FAM,RdRP,Unkn,Sample 14,NaN,NaN
,G01,FAM,RdRP,Unkn,Sample 07,NaN,NaN
,G02,FAM,RdRP,Unkn,Sample 15,NaN,NaN
,H01,FAM,RdRP,Unkn,Sample 08,NaN,NaN
,H02,FAM,RdRP,Unkn,Sample 16,NaN,NaN
,A01,HEX,E,Unkn,Sample 01,NaN,NaN
,A02,HEX,E,Unkn,Sample 09,NaN,NaN
,A03,HEX,E,Pos Ctrl,PC,27.4724412192445,NaN
,B01,HEX,E,Unkn,Sample 02,NaN,NaN
,B02,HEX,E,Unkn,Sample 10,NaN,NaN
,B03,HEX,E,Neg Ctrl,NC,NaN,NaN
,C01,HEX,E,Unkn,Sample 03,NaN,NaN
,C02,HEX,E,Unkn,Sample 11,NaN,NaN
,D01,HEX,E,Unkn,Sample 04,NaN,NaN
,D02,HEX,E,Unkn,Sample 12,NaN,NaN
,E01,HEX,E,Unkn,Sample 05,NaN,NaN
,E02,HEX,E,Unkn,Sample 13,NaN,NaN
,F01,HEX,E,Unkn,Sample 06,NaN,NaN
,F02,HEX,E,Unkn,Sample 14,NaN,NaN
,G01,HEX,E,Unkn,Sample 07,NaN,NaN
,G02,HEX,E,Unkn,Sample 15,NaN,NaN
,H01,HEX,E,Unkn,Sample 08,NaN,NaN
,H02,HEX,E,Unkn,Sample 16,NaN,NaN
